"combo_id","season","week_end_date","spline_type","tail_mode","use_taper","lambda_strategy","combo_label","result_filename"
1,"s1",2022-10-01,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00001__2022-10-01__natural_linear_taper_cv_1se.rds"
2,"s1",2022-10-01,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00002__2022-10-01__regression_constant_notaper_cv_1se.rds"
3,"s1",2022-10-08,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00003__2022-10-08__natural_linear_taper_cv_1se.rds"
4,"s1",2022-10-08,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00004__2022-10-08__regression_constant_notaper_cv_1se.rds"
5,"s1",2022-10-15,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00005__2022-10-15__natural_linear_taper_cv_1se.rds"
6,"s1",2022-10-15,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00006__2022-10-15__regression_constant_notaper_cv_1se.rds"
7,"s1",2022-10-22,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00007__2022-10-22__natural_linear_taper_cv_1se.rds"
8,"s1",2022-10-22,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00008__2022-10-22__regression_constant_notaper_cv_1se.rds"
9,"s1",2022-10-29,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00009__2022-10-29__natural_linear_taper_cv_1se.rds"
10,"s1",2022-10-29,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00010__2022-10-29__regression_constant_notaper_cv_1se.rds"
11,"s1",2022-11-05,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00011__2022-11-05__natural_linear_taper_cv_1se.rds"
12,"s1",2022-11-05,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00012__2022-11-05__regression_constant_notaper_cv_1se.rds"
13,"s1",2022-11-12,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00013__2022-11-12__natural_linear_taper_cv_1se.rds"
14,"s1",2022-11-12,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00014__2022-11-12__regression_constant_notaper_cv_1se.rds"
15,"s1",2022-11-19,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00015__2022-11-19__natural_linear_taper_cv_1se.rds"
16,"s1",2022-11-19,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00016__2022-11-19__regression_constant_notaper_cv_1se.rds"
17,"s1",2022-11-26,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00017__2022-11-26__natural_linear_taper_cv_1se.rds"
18,"s1",2022-11-26,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00018__2022-11-26__regression_constant_notaper_cv_1se.rds"
19,"s1",2022-12-03,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00019__2022-12-03__natural_linear_taper_cv_1se.rds"
20,"s1",2022-12-03,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00020__2022-12-03__regression_constant_notaper_cv_1se.rds"
21,"s1",2022-12-10,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00021__2022-12-10__natural_linear_taper_cv_1se.rds"
22,"s1",2022-12-10,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00022__2022-12-10__regression_constant_notaper_cv_1se.rds"
23,"s1",2022-12-17,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00023__2022-12-17__natural_linear_taper_cv_1se.rds"
24,"s1",2022-12-17,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00024__2022-12-17__regression_constant_notaper_cv_1se.rds"
25,"s1",2022-12-24,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00025__2022-12-24__natural_linear_taper_cv_1se.rds"
26,"s1",2022-12-24,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00026__2022-12-24__regression_constant_notaper_cv_1se.rds"
27,"s1",2022-12-31,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00027__2022-12-31__natural_linear_taper_cv_1se.rds"
28,"s1",2022-12-31,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00028__2022-12-31__regression_constant_notaper_cv_1se.rds"
29,"s1",2023-01-07,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00029__2023-01-07__natural_linear_taper_cv_1se.rds"
30,"s1",2023-01-07,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00030__2023-01-07__regression_constant_notaper_cv_1se.rds"
31,"s1",2023-01-14,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00031__2023-01-14__natural_linear_taper_cv_1se.rds"
32,"s1",2023-01-14,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00032__2023-01-14__regression_constant_notaper_cv_1se.rds"
33,"s1",2023-01-21,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00033__2023-01-21__natural_linear_taper_cv_1se.rds"
34,"s1",2023-01-21,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00034__2023-01-21__regression_constant_notaper_cv_1se.rds"
35,"s1",2023-01-28,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00035__2023-01-28__natural_linear_taper_cv_1se.rds"
36,"s1",2023-01-28,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00036__2023-01-28__regression_constant_notaper_cv_1se.rds"
37,"s1",2023-02-04,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00037__2023-02-04__natural_linear_taper_cv_1se.rds"
38,"s1",2023-02-04,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00038__2023-02-04__regression_constant_notaper_cv_1se.rds"
39,"s1",2023-02-11,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00039__2023-02-11__natural_linear_taper_cv_1se.rds"
40,"s1",2023-02-11,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00040__2023-02-11__regression_constant_notaper_cv_1se.rds"
41,"s1",2023-02-18,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00041__2023-02-18__natural_linear_taper_cv_1se.rds"
42,"s1",2023-02-18,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00042__2023-02-18__regression_constant_notaper_cv_1se.rds"
43,"s1",2023-02-25,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00043__2023-02-25__natural_linear_taper_cv_1se.rds"
44,"s1",2023-02-25,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00044__2023-02-25__regression_constant_notaper_cv_1se.rds"
