"combo_id","variant","week_end_date","spline_type","tail_mode","use_taper","lambda_strategy","combo_label","result_filename"
1,"raw",2022-10-01,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00001__2022-10-01__natural_linear_taper_cv_min.rds"
2,"raw",2022-10-08,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00002__2022-10-08__natural_linear_taper_cv_min.rds"
3,"raw",2022-10-15,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00003__2022-10-15__natural_linear_taper_cv_min.rds"
4,"raw",2022-10-22,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00004__2022-10-22__natural_linear_taper_cv_min.rds"
5,"raw",2022-10-29,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00005__2022-10-29__natural_linear_taper_cv_min.rds"
6,"raw",2022-11-05,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00006__2022-11-05__natural_linear_taper_cv_min.rds"
7,"raw",2022-11-12,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00007__2022-11-12__natural_linear_taper_cv_min.rds"
8,"raw",2022-11-19,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00008__2022-11-19__natural_linear_taper_cv_min.rds"
9,"raw",2022-11-26,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00009__2022-11-26__natural_linear_taper_cv_min.rds"
10,"raw",2022-12-03,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00010__2022-12-03__natural_linear_taper_cv_min.rds"
11,"raw",2022-12-10,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00011__2022-12-10__natural_linear_taper_cv_min.rds"
12,"raw",2022-12-17,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00012__2022-12-17__natural_linear_taper_cv_min.rds"
13,"raw",2022-12-24,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00013__2022-12-24__natural_linear_taper_cv_min.rds"
14,"raw",2022-12-31,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00014__2022-12-31__natural_linear_taper_cv_min.rds"
15,"raw",2023-01-07,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00015__2023-01-07__natural_linear_taper_cv_min.rds"
16,"raw",2023-01-14,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00016__2023-01-14__natural_linear_taper_cv_min.rds"
17,"raw",2023-01-21,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00017__2023-01-21__natural_linear_taper_cv_min.rds"
18,"raw",2023-01-28,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00018__2023-01-28__natural_linear_taper_cv_min.rds"
19,"raw",2023-02-04,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00019__2023-02-04__natural_linear_taper_cv_min.rds"
20,"raw",2023-02-11,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00020__2023-02-11__natural_linear_taper_cv_min.rds"
21,"raw",2023-02-18,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00021__2023-02-18__natural_linear_taper_cv_min.rds"
22,"raw",2023-02-25,"natural","linear",TRUE,"cv_min","natural_linear_taper","combo_00022__2023-02-25__natural_linear_taper_cv_min.rds"
